"Category","Name","Description","Value ","Default Value"
Reference Control,default_object_geom_scope,Set the specified Shared Geometry reference control conditions to newly created models if template models were not used.,"all, none, pg",all
Reference Control,default_object_invalid_refs,Sets default condition for reference handling. Prohibit - System will abort all attempts to create ext. reference that violates scope. Copy - System will issue warning upon all attempts to create ext. reference that violates scope.,"copy, prohibit",copy
Reference Control,default_object_scope_setting,Set default condition for reference control. All - Any model. None - Only current model and children. Skeletons - Any component in model's assembly ang higher skeletons on branch. Subassembly - Only components and children in model's assembly.,"all, none, subassemblies, skeleton_model",all
Reference Control,default_placement_scope,Default value for Component Placement Reference filter.,"all, intrf_if_exists, intrf_only",all
Dimensions & Tolerances,default_placement_surfacefinish,Sets the default placement type for surface finishes within the surface finish UI.,"with_leaders, on_entity, normal_to_entity, free",normal_to_entity
Model Display,default_ramp_size,Specifies a number of shades of gray to show shading of non-colored objects.,,
Without category,default_ref_current_module_vrnt,Allow references to current design solution only.,"yes, no",yes
Photorender,default_scene_filename,Complete path to the scene file to be used as default scene file.,,<creo_loadpoint>\graphic-library\scenes\/creo_default_scene.scn
Casting & Mold Design,default_shrink_formula,Default option of shrinkage formula: 1/(1-S) - ASME standard or 1+S (simple).,"asme, simple",simple
Printing & Plotting,delete_after_plotting,Yes - A plot file is automatically deleted from the directory in which it resides when it has been successfully plotted.,"yes, no",
Without category,designate_model_item_params,"When an object is designated, all parameters belonging to that object will be automatically designated as well.","yes, no",no
Electromechanical,diagram_export_allow,"YES: Allow user to save a copy of loaded diagrams as DGE file for loading into Routed Systems Designer, NO: Do not provide option to save a diagram as DGE.","yes, no",no
Electromechanical,diagram_pin_edit_multi_line,"(Diagram)  Determines the Pro/TABLE format used when you are modifying pin parameters.   ""yes"" - You can add user-defined pin parameters by including them between the DEFINE and ENDDEF statements for each pin.   ""no"" - The system uses columnar format and","yes, no",no
User Interface,dialog_translation,Specifies the language in which the dialog display when running non-English version of Creo Parametric.,"yes, no",yes
Dimensions & Tolerances,dim_fraction_denominator,"Sets the largest denominator to be used for fractional dimensions. If the fraction can be reduced, then it converts to the lowest possible denominator (for example, 4/32 converts to 1/8).",,32
Dimensions & Tolerances,dim_fraction_format,Std - Displays fractional dimensions in the standard Creo Parametric format. Aisc - Displays fractional dimensions in the American Institute of Steel Construction (AISC) format and displays architectural units in AISC format for feet-inches.,"std, aisc",std
Assembly,dim_inactive_components,Display inactive assembly components with stippled transparency and default color (grey). Default value is shade_only.,"never, always, shaded_only",shaded_only
Dimensions & Tolerances,dim_offscreen_limit,"If more than zero, sets the margin beyond which dimensions are automatically snapped back onto the screen.  For example, a value of .2 lets a dimension be 20% of the window size outside the window.  If set to zero, disables snapping of offscreen dimensions.",,0.2
Printing & Plotting,din_std_line_priority,If set to YES line priority in plotting or export is determined according to DIN standard,"yes, no",no
File Storage & Retrieval,dir_cache_max,"Specify the maximum number of directories to cache.  Larger values can speed up file access, but use more memory.",,256
Data Exchange,direct_vrml,Yes - Enables direct VRML conversion.,"yes, no",no
File Storage & Retrieval,disable_search_path_check,"Controls whether the search path is checked for name conflicts when creating, renaming, or copying models. Name conflicts should be avoided because different models with the same name cannot be together in session.","yes, no",no
Model Display,disp_comp_name_in_symb_rep,Displays the names of components in symbolic representations.,"yes, no",yes
Without category,disp_in_open_rep_create,"Simplified Rep to display initially in Open Rep Create: ""No"" for none, ""Yes"" for graphics rep, or ""Default Rep"" to display the rep indicated by option ""open_simplified_rep_by_default"".","yes, no, default rep",no
Assembly,disp_regen_success_msg,Issue successfull regeneration messages for assembly models.,"yes, no",no
Drawing,disp_trimetric_dwg_mode_view,Displays the model in default orientation when placing a general view on the drawing. No - Model does not appear until Default is chosen from the Orientation dialog box.,"yes, no",yes
Model Display,display,Wireframe - All solid edges in white. Hiddenvis - Hidden lines in grey. Hiddeninvis - Hidden lines removed. Shade - Display shaded surfaces. Settings are reflected in printing and some export modes.,"wireframe, hiddenvis, hiddeninvis, shade, shadewithreflect, shadewithedges",shade
Without category,display_all_dims,Controls the display of dimensions during dynamic edit.,"yes, no",yes
Environment,display_annotations,Determines whether or not annotations are displayed in 3D models.,"yes, no",yes
Model Display,display_axes,Displays or hides datum axes.,"yes, no",yes
Model Display,display_axis_tags,Displays or hides datum axis name tags.,"yes, no",no
Without category,display_combined_views,Display combined view tabs by default,"yes, no",no
Assembly Process,display_comps_to_assemble,"Yes - The design model goes into memory and displays. Pick process components from the design model or the Model Tree. No - Only the Model Tree displays. As you pick process components from the Model Tree, they go into memory.","yes, no",yes
Model Display,display_coord_sys,Yes - Coordinate systems will be displayed. No - Coordinate systems will not be displayed.,"yes, no",yes
Model Display,display_coord_sys_tags,Yes - Coordinate system name tags will be displayed. No - Coordinate system name tags will not be displayed.,"yes, no",yes
Features,display_draggers,Display Dragger for Edit mode.,"yes, no",yes
Electromechanical,display_duplicate_harness_msg,Display warning message when duplicate harness are identified in the same assembly.,"yes, no",yes
Drawing,display_dwg_sketch_constraint,"When set to yes, parametric sketching constraints, such as V for vertical, are displayed when a drawing object is selected","yes, no",no
Drawing,display_dwg_tol_tags,Sets the display of the tolerance tags that appear in drawings. This option does not affect the display of tolerances on dimensions.,"yes, no",yes
Model Display,display_florin,Yes: display of the florin (international currency symbol) where possible. No: use the euro symbol exclusively.,"yes, no",no
Environment,display_full_object_path,Controls the display of the object's full file name (including its object-type suffix and its version number) and file path in the window title and Model Info display. Yes - Displays full file name and file path. No - Displays object name only.,"yes, no",no
